component	eigenvalue
1	53.9294100906
2	10.4126137578
3	9.2804025111
4	7.2518636232
5	7.0666624443
6	6.6604092558
7	6.3699359759
8	6.2343416293
9	6.2061224797
10	5.7462371036
11	5.6298143233
12	5.4437172386
13	5.3130047210
14	5.1891202857
15	5.1219079331
16	4.8671019857
17	4.7224585598
18	4.6473769720
19	4.5359298698
20	4.4438951016
21	4.3894553338
22	4.3603171537
23	4.2644275893
24	4.1624563664
25	4.0431212350
26	3.9819488940
27	3.8856147407
28	3.8733151249
29	3.7462911784
30	3.6994334081
31	3.6624035105
32	3.6164285347
33	3.5468158061
34	3.4918423675
35	3.3856344285
36	3.3296888825
37	3.2994093989
38	3.2097093650
39	3.1767803920
40	3.1159374021
41	3.0375980657
42	3.0109963672
43	2.9686320871
44	2.9516322164
45	2.8912475432
46	2.8700247594
47	2.7830172382
48	2.7415740281
49	2.6773142973
50	2.5961950524
51	2.5272137949
52	2.4881558033
53	2.4789444180
54	2.4354210064
55	2.3805038439
56	2.3617219079
57	2.3455159545
58	2.2768618387
59	2.2310528877
60	2.1627342929
61	2.1301732140
62	2.0837316517
63	2.0720055492
64	2.0151725186
65	2.0121878139
66	1.9649518596
67	1.8941898145
68	1.8754198159
69	1.8134059963
70	1.8025824431
71	1.7658791063
72	1.7163691337
73	1.7142063671
74	1.6845811776
75	1.6426316025
76	1.6201483571
77	1.5989082121
78	1.5666128235
79	1.5501860343
80	1.5202522659
81	1.5081982969
82	1.4717611945
83	1.4444262679
84	1.4232046308
85	1.4089135974
86	1.3719007641
87	1.3098440112
88	1.2939236250
89	1.2844810448
90	1.2583996847
91	1.2206730951
92	1.1867186594
93	1.1643576866
94	1.1305038694
95	1.1089758523
96	1.0845444887
97	1.0509322333
98	1.0447553634
99	1.0105103913
100	0.9905379771
101	0.9832026876
102	0.9604454064
103	0.9524882974
104	0.9182563483
105	0.9059478115
106	0.8662179825
107	0.8483916362
108	0.8336819426
109	0.8207159559
110	0.7928392103
111	0.7678251907
112	0.7417785702
113	0.7333447249
114	0.7134321706
115	0.7020379251
116	0.6745933747
117	0.6561536287
118	0.6326437407
119	0.6149055610
120	0.6074092069
121	0.5797797657
122	0.5603597055
123	0.5426483606
124	0.5330530754
125	0.5034017129
126	0.4850946238
127	0.4537356737
128	0.4438940760
129	0.4199430377
130	0.4128540745
131	0.3994412379
132	0.3852501067
133	0.3713847767
134	0.3655615022
135	0.3315607499
136	0.3167699114
137	0.3091805094
138	0.2896956568
139	0.2803608369
140	0.2758635025
141	0.2504638239
142	0.2426925120
143	0.2205635209
144	0.2060715083
145	0.1914839481
146	0.1768489519
147	0.1667915248
148	0.1467050713
149	0.1323343633
150	0.0929748063
151	0.0813179599
152	0.0708598335
153	0.0588124169
154	0.0500746399
155	0.0347787670
156	0.0121866480
157	0.0095266955
158	-0.0183288949
159	-0.0380969529
160	-0.0423532061
161	-0.0463086357
162	-0.0532062103
163	-0.0934932075
164	-0.0987691303
165	-0.1103159752
166	-0.1173161856
167	-0.1215342898
168	-0.1373082120
169	-0.1505763256
170	-0.1577982025
171	-0.1736256033
172	-0.1844627351
173	-0.2009133316
174	-0.2103879436
175	-0.2343338878
176	-0.2474584991
177	-0.2693618400
178	-0.2773543444
179	-0.2920962535
180	-0.3034273104
181	-0.3261061067
182	-0.3274909758
183	-0.3454221261
184	-0.3564067550
185	-0.3596905778
186	-0.3664157538
187	-0.3895496891
188	-0.3992850928
189	-0.4057362945
190	-0.4247955362
191	-0.4301248793
192	-0.4394605778
193	-0.4503684288
194	-0.4819733672
195	-0.4915947703
196	-0.5077489320
197	-0.5123084582
198	-0.5265267694
199	-0.5398478692
200	-0.5511355814
201	-0.5691844312
202	-0.5847885656
203	-0.6033969058
204	-0.6153614762
205	-0.6385835194
206	-0.6480216069
207	-0.6570570567
208	-0.6712474339
209	-0.6910034440
210	-0.7006241724
211	-0.7236761041
212	-0.7253927021
213	-0.7435097334
214	-0.7550669152
215	-0.7632919880
216	-0.7893282814
217	-0.7964303141
218	-0.8213574976
219	-0.8329221764
220	-0.8488895778
221	-0.8673258951
222	-0.8801241226
223	-0.8842487111
224	-0.8996795160
225	-0.9302729494
226	-0.9435260045
227	-0.9560306661
228	-0.9720845598
229	-0.9870434820
230	-1.0003158725
231	-1.0280597876
232	-1.0383951450
233	-1.0532654838
234	-1.0682342902
235	-1.0784667346
236	-1.0895210170
237	-1.0909438964
238	-1.1238706408
239	-1.1367263709
240	-1.1500393073
241	-1.1671627076
242	-1.1849030414
243	-1.2120983293
244	-1.2143418054
245	-1.2305964751
246	-1.2583384433
247	-1.2693539443
248	-1.2903614710
249	-1.3165703427
250	-1.3244818980
251	-1.3464486879
252	-1.3566258022
253	-1.3779429615
254	-1.3929216357
255	-1.4239637739
256	-1.4299196213
257	-1.4458810100
258	-1.4865558452
259	-1.5198455750
260	-1.5454000465
261	-1.5713617187
262	-1.5998304951
263	-1.6168063875
264	-1.6229593927
265	-1.6298950288
266	-1.6524168813
267	-1.7089215022
268	-1.7232606017
269	-1.7786754342
270	-1.7994867271
271	-1.8171650562
272	-1.8659252609
273	-1.9464801552
274	-2.0020560486
275	-2.1569686646
276	-2.3662850519
277	-3.2511722307
